time_s,P_drive_W,P_hvac_W,P_to_LFP_W,P_to_LTO_W,T_LFP_C,T_LTO_C,SoC_LFP,SoC_LTO
1199.5,379.92759633131186,2362.5377315725405,2742.465327903852,0.0,39.423019718169186,40.98449504213329,0.5500443239718871,0.5250040359717842
1199.75,-262.42990375972676,2362.470021624937,2100.0401178652105,0.0,39.42379775163725,40.98500279461222,0.5500443262595125,0.5250040359717842
1200.0,-832.5572146176372,2362.4023398839354,1529.845125266298,0.0,39.42457147597767,40.985510293214915,0.5500443279260104,0.5250040359717842
1200.25,5464.312373375073,2362.3346863377847,7826.647059712857,0.0,39.42534144094864,40.98601753806831,0.5500443364517698,0.5250040359717842
1200.5,8153.385013639699,2362.2670609747393,9769.195503873078,0.0,39.42615450984392,40.986524529299274,0.550044347093595,0.5250040359717842
1200.75,13128.090274752994,2362.1994637830594,9755.373332653384,0.0,39.42698250466253,40.987031267034624,0.5500443577203633,0.5250040359717842
1201.0,17307.82600341736,2362.131894751009,9741.29742073694,0.0,39.42781012652411,40.987537751401106,0.5500443683317984,0.5250040359717842
1201.25,21571.68904059302,2362.0643538668573,9727.22784909017,0.0,39.42863737360222,40.988043982525404,0.5500443789279071,0.5250040359717842
1201.5,24726.665984188545,2361.996841118879,9713.164648762238,0.0,39.429464246155575,40.988549960534144,0.5500443895086965,0.5250040359717842
1201.75,27238.00240946092,2361.9293564953523,9699.107815355219,0.0,39.43029074444294,40.98905568555388,0.5500444000741734,0.5250040359717842
1202.0,33517.42253345469,2361.8618999845617,9685.057344469982,0.0,39.431116868722896,40.9895611577111,0.5500444106243448,0.5250040359717842
1202.25,33912.175092848796,2361.7944715747954,9671.013231710773,0.0,39.43194261925379,40.990066377132244,0.5500444211592176,0.5250040359717842
1202.5,37902.56286131558,2361.7270712543477,9656.975472685588,0.0,39.43276799629377,40.99057134394368,0.5500444316787987,0.5250040359717842
1202.75,38805.7622617382,2361.659699011517,9642.94406300592,0.0,39.43359300010078,40.99107605827171,0.550044442183095,0.5250040359717842
1203.0,42114.51276936067,2361.5923548346072,9628.918998286772,0.0,39.43441763093254,40.99158052024257,0.5500444526721135,0.5250040359717842
1203.25,42189.25653335129,2361.5250387119254,9614.900274146763,0.0,39.43524188904658,40.99208472998245,0.5500444631458611,0.5250040359717842
1203.5,45514.64606569591,2361.4577506317855,9600.887886208142,0.0,39.436065774700204,40.99258868761746,0.5500444736043446,0.5250040359717842
1203.75,45158.77200480981,2361.3904905825057,9586.881830096538,0.0,39.43688928815052,40.993092393273656,0.550044484047571,0.5250040359717842
1204.0,43705.1645979711,2361.323258552409,9572.882101441202,0.0,39.43771242965441,40.99359584707702,0.5500444944755472,0.5250040359717842
1204.25,46156.116252476284,2361.256054529822,9558.888695875012,0.0,39.43853519946857,40.994099049153476,0.5500445048882799,0.5250040359717842
1204.5,42588.642157208684,2361.1888785030787,9544.901609034348,0.0,39.43935759784946,40.9946019996289,0.5500445152857762,0.5250040359717842
1204.75,42782.50032440114,2361.121730460516,9530.920836559211,0.0,39.44017962505336,40.995104698629085,0.550044525668043,0.5250040359717842
1205.0,42477.69417310263,2361.0546103904767,9516.946374092868,0.0,39.44100128133633,40.995607146279774,0.550044536035087,0.5250040359717842
1205.25,39364.06234397151,2360.9875182813075,9502.978217282447,0.0,39.441822566954215,40.99610934270663,0.5500445463869151,0.5250040359717842
1205.5,38460.98178752915,2360.9204541213603,9489.01636177834,0.0,39.442643482162666,40.996611288035275,0.5500445567235343,0.5250040359717842
1205.75,34814.84333837921,2360.8534178989926,9475.060803234683,0.0,39.44346402721712,40.99711298239126,0.5500445670449512,0.5250040359717842
1206.0,31328.376798510675,2360.786409602566,9461.111537308994,0.0,39.4442842023728,40.99761442590006,0.550044577351173,0.5250040359717842
1206.25,29565.26638350544,2360.7194292204467,9447.168559662416,0.0,39.44510400788473,40.99811561868711,0.5500445876422062,0.5250040359717842
1206.5,25029.673374668455,2360.652476741007,9433.231865959591,0.0,39.445923444007725,40.998616560877764,0.5500445979180579,0.5250040359717842
1206.75,20815.84342614892,2360.5855521526223,9419.301451868669,0.0,39.4467425109964,40.99911725259732,0.5500446081787349,0.5250040359717842
1207.0,17986.396168425268,2360.518655443674,9405.37731306118,0.0,39.44756120910515,40.999617693971025,0.550044618424244,0.5250040359717842
1207.25,12844.224050717547,2360.4517866025485,9391.459445212398,0.0,39.44837953858818,41.00011788512404,0.550044628654592,0.5250040359717842
1207.5,7642.179751994727,2360.3849456176363,9377.54784400098,0.0,39.449197499699466,41.00061782618148,0.5500446388697857,0.5250040359717842
1207.75,3802.277281162325,2360.318132477333,6162.595413639658,0.0,39.4500150926928,41.00111751726839,0.5500446455828526,0.5250040359717842
1208.0,20012.48794503025,2360.25134717004,9349.743424222375,0.0,39.45080818206085,41.00161695850976,0.5500446557677583,0.5250040359717842
1208.25,19862.94241155773,2360.184589684161,9336.260904965606,0.0,39.451625047200956,41.0021161500305,0.5500446659379772,0.5250040359717842
1208.5,16708.66964031893,2360.117860008107,9322.37419758375,0.0,39.4524415482103,41.00261509195549,0.550044676093069,0.5250040359717842
1208.75,18640.04684085481,2360.051158130293,9308.49368042486,0.0,39.45325768210773,41.003113784409514,0.5500446862330403,0.5250040359717842
1209.0,19002.334587188278,2359.9844840391393,9294.619404168543,0.0,39.454073449145575,41.00361222751731,0.550044696357898,0.5250040359717842
1209.25,17757.514914653126,2359.9178377230696,9280.751364525222,0.0,39.454888849576385,41.00411042140355,0.5500447064676489,0.5250040359717842
1209.5,18543.4403841192,2359.851219170514,9266.889557201459,0.0,39.45570388365252,41.00460836619285,0.5500447165622998,0.5250040359717842
1209.75,17147.19508201664,2359.7846283699064,9253.033977907195,0.0,39.45651855162612,41.00510606200975,0.5500447266418576,0.5250040359717842
1210.0,17709.911627742982,2359.718065309686,9239.184622355991,0.0,39.45733285374913,41.005603508978744,0.5500447367063288,0.5250040359717842
1210.25,18843.003251676004,2359.6515299782973,9225.341486264802,0.0,39.45814679027329,41.006100707224256,0.5500447467557205,0.5250040359717842
1210.5,17929.705446448897,2359.585022364188,9211.504565354076,0.0,39.45896036145013,41.006597656870646,0.5500447567900392,0.5250040359717842
1210.75,17848.11839879371,2359.518542455812,9197.673855347766,0.0,39.45977356753098,41.00709435804221,0.5500447668092917,0.5250040359717842
1211.0,17770.96223253204,2359.4520902416284,9183.84935197333,0.0,39.46058640876697,41.007590810863185,0.5500447768134848,0.5250040359717842
1211.25,16870.28690210344,2359.3856657100996,9170.031050961483,0.0,39.46139888540902,41.008087015457754,0.5500447868026255,0.5250040359717842
1211.5,17137.386917692642,2359.3192688496933,9156.218948046693,0.0,39.46221099770784,41.00858297195003,0.5500447967767201,0.5250040359717842
1211.75,17532.851706353213,2359.252899648883,9142.41303896668,0.0,39.46302274591396,41.00907868046405,0.5500448067357757,0.5250040359717842
1212.0,17861.36466318623,2359.186558096146,9128.613319462673,0.0,39.46383413027769,41.00957414112382,0.550044816679799,0.5250040359717842
1212.25,17254.187605182487,2359.1202441799646,9114.81978527928,0.0,39.46464515104913,41.01006935405326,0.5500448266087966,0.5250040359717842
1212.5,19520.010276827714,2359.053957888826,9101.032432164737,0.0,39.4654558084782,41.01056431937623,0.5500448365227752,0.5250040359717842
1212.75,16520.60241664378,2358.987699211222,9087.251255870655,0.0,39.466266102814586,41.01105903721654,0.5500448464217418,0.5250040359717842
1213.0,17076.73370603715,2358.92146813565,9073.476252152033,0.0,39.4670760343078,41.01155350769793,0.5500448563057029,0.5250040359717842
1213.25,17433.32371831091,2358.8552646506105,9059.707416767375,0.0,39.467885603207144,41.01204773094408,0.5500448661746652,0.5250040359717842
1213.5,18398.858262374448,2358.7890887446106,9045.944745478557,0.0,39.46869480976171,41.01254170707861,0.5500448760286355,0.5250040359717842
1213.75,16776.76941045016,2358.722940406161,9032.188234050971,0.0,39.46950365422039,41.013035436225074,0.5500448858676205,0.5250040359717842
1214.0,18176.311957422986,2358.656819623778,9018.43787825338,0.0,39.47031213683188,41.013528918506964,0.5500448956916268,0.5250040359717842
1214.25,17263.448963663064,2358.590726385982,9004.693673858057,0.0,39.471120257844674,41.01402215404771,0.5500449055006613,0.5250040359717842
1214.5,17312.116373734014,2358.524660681299,8990.955616640535,0.0,39.47192801750706,41.01451514297069,0.5500449152947307,0.5250040359717842
1214.75,18319.336142049528,2358.4586224982586,8977.223702379966,0.0,39.47273541606713,41.0150078853992,0.5500449250738414,0.5250040359717842
1215.0,18646.868823345772,2358.392611825396,8963.497926858772,0.0,39.47354245377277,41.0155003814565,0.5500449348380003,0.5250040359717842
1215.25,18817.010285869328,2358.3266286512517,8949.778285862869,0.0,39.474349130871666,41.01599263126577,0.5500449445872141,0.5250040359717842
1215.5,16999.725688346985,2358.2606729643694,8936.064775181685,0.0,39.4751554476113,41.01648463495013,0.5500449543214895,0.5250040359717842
1215.75,18818.50289844215,2358.1947447532984,8922.3573906079,0.0,39.475961404238966,41.01697639263266,0.550044964040833,0.5250040359717842
1216.0,18834.352914507515,2358.1288440065937,8908.656127937584,0.0,39.47676700100174,41.01746790443634,0.5500449737452515,0.5250040359717842
1216.25,18245.86864776798,2358.0629707128137,8894.960982970424,0.0,39.477572238146514,41.01795917048412,0.5500449834347515,0.5250040359717842
1216.5,18351.075757688195,2357.9971248605216,8881.271951509256,0.0,39.47837711591997,41.018450190898875,0.5500449931093396,0.5250040359717842
1216.75,18012.081059150045,2357.931306438287,8867.58902936053,0.0,39.47918163456859,41.018940965803424,0.5500450027690227,0.5250040359717842
1217.0,17858.698833415263,2357.8655154346816,8853.912212333966,0.0,39.47998579433866,41.019431495320525,0.5500450124138072,0.5250040359717842
1217.25,18693.522312787856,2357.7997518382845,8840.241496242783,0.0,39.48078959547627,41.01992177957286,0.5500450220436999,0.5250040359717842
1217.5,19365.181308157928,2357.734015637678,8826.576876903458,0.0,39.481593038227295,41.02041181868307,0.5500450316587073,0.5250040359717842
