time_s,P_drive_W,P_hvac_W,P_chiller_W,P_to_LFP_W,P_to_LTO_W,T_LFP_C,T_LTO_C,SoC_LFP,SoC_LTO
18.0,17056.70010213604,3164.53464025821,0.0,14971.234742394252,5250.0,30.173158419145366,30.286424539763697,0.5500015547845124,0.5250023202389136
18.25,19481.81577609034,3164.0495185654736,0.0,17395.865294655814,5250.0,30.17549138563839,30.290285099359334,0.5500015737342567,0.525002352646321
18.5,17736.22990045992,3163.56459896467,0.0,15649.794499424588,5250.0,30.177833479273747,30.29414250037581,0.5500015907819632,0.5250023850537284
18.75,18849.66063022845,3163.079881371613,0.0,16762.740511600063,5250.0,30.180166926317828,30.297996745397366,0.5500016090420291,0.5250024174611359
19.0,17336.40902132202,3162.595365702149,0.0,15249.004387024168,5250.0,30.182503967134608,30.301847837006132,0.550001625653145,0.5250024498685433
19.25,17800.975982996297,3162.111051872161,0.0,15713.087034868458,5250.0,30.18483356969011,30.305695777782123,0.5500016427697976,0.5250024822759507
19.5,16649.176517218915,3161.6269397975675,0.0,14560.803457016482,5250.0,30.187163935689686,30.309540570303245,0.5500016586312393,0.5250025146833581
19.75,16472.84851293178,3161.1430293943204,0.0,14383.9915423261,5250.0,30.189488637657853,30.313382217145293,0.5500016743000754,0.5250025470907655
20.0,-781.1476704501865,3160.659320578407,0.0,1070.780242557699,1308.7314075705215,30.191811562524524,30.317220720881952,0.5500016754665027,0.5250025551693545
20.25,-3493.031126359498,3160.1758132658515,0.0,0.0,-332.8553130936466,30.194106529354585,30.32105233420982,0.5500016754665027,0.525002553114692
20.5,-6189.772702415655,3159.6925073727107,0.0,0.0,-3030.080195042944,30.196400251238302,30.32488058019051,0.5500016754665027,0.5250025344104933
20.75,-8218.987302929523,3159.2094028150777,0.0,0.0,-5059.777900114445,30.19869287839112,30.328707009830087,0.5500016754665027,0.5250025031772964
21.0,-14219.41052885383,3158.72649950908,0.0,0.0,-11060.68402934475,30.200984411335526,30.332532690834682,0.5500016754665027,0.525002434901469
21.25,-15691.653549094852,3158.24379737088,0.0,0.0,-12533.409751723972,30.20327485059375,30.33636927578653,0.5500016754665027,0.5250023575347421
21.5,-19928.430922474796,3157.7612963166757,0.0,0.0,-16770.66962615812,30.205564196687785,30.34020776300302,0.5500016754665027,0.5250022540120901
21.75,-22325.788390609872,3157.2789962626994,0.0,0.0,-19168.509394347173,30.207852450139367,30.344061124107373,0.5500016754665027,0.5250021356879581
22.0,-25933.690636166957,3156.7968971252185,0.0,0.0,-22776.893739041738,30.21013961146998,30.347923835517193,0.5500016754665027,0.5250019950898486
22.25,-28238.55445719213,3156.314998820535,0.0,0.0,-25082.239458371594,30.21242568120087,30.351805346214807,0.5500016754665027,0.52500184026121
22.5,-29724.204912829493,3155.8333012649864,0.0,0.0,-26568.371611564507,30.214710659853022,30.3556996896606,0.5500016754665027,0.5250016762589161
22.75,-31821.73275003292,3155.3518043749436,0.0,0.0,-28666.380945657977,30.216994547947184,30.35960198498051,0.5500016754665027,0.5250014993059473
23.0,-32338.627150436223,3154.870508066815,0.0,0.0,-29183.756642369408,30.219277346003846,30.363517902365746,0.5500016754665027,0.5250013191593014
23.25,-34054.92332166613,3154.3894122570414,0.0,0.0,-30900.53390940909,30.221559054543253,30.36743496024177,0.5500016754665027,0.5250011284152649
23.5,-33326.92715511476,3153.9085168620986,0.0,0.0,-30173.018638252663,30.2238396740854,30.371363781675704,0.5500016754665027,0.5250009421620635
23.75,-34709.04966450169,3153.4278217984993,0.0,0.0,-31555.621842703193,30.22611920515004,30.3752829438859,0.5500016754665027,0.5250007473742744
24.0,-34867.80944859423,3152.9473269827877,0.0,0.0,-31714.86212161144,30.228397648256674,30.379211285052268,0.5500016754665027,0.5250005516035205
24.25,-33921.51727457262,3152.4670323315463,0.0,0.0,-30769.050242241075,30.230675003924553,30.383137876247464,0.5500016754665027,0.5250003616711116
24.5,-33912.99499888372,3151.9869377613895,0.0,0.0,-30761.008061122327,30.23295127267268,30.387052681790678,0.5500016754665027,0.5250001717883458
24.75,-33522.77813629617,3151.5070431889676,0.0,0.0,-30371.2710931072,30.235226455019813,30.390964214620666,0.5500016754665027,0.5249999843113637
25.0,-32408.362327228955,3151.0273485309663,0.0,0.0,-29257.33497869799,30.237500551484462,30.394869091979356,0.5500016754665027,0.5249998037105306
25.25,-30964.003161953762,3150.547853704104,0.0,0.0,-27813.455308249657,30.23977356258489,30.398761138025048,0.5500016754665027,0.5249996320225349
25.5,-28240.058865744893,3150.0685586251366,0.0,0.0,-25089.990307119755,30.24204548883911,30.4026380439585,0.5500016754665027,0.5249994771460514
25.75,-26428.897374346438,3149.589463210852,0.0,0.0,-23279.307911135584,30.244316330764892,30.406490871618356,0.5500016754665027,0.5249993334466199
26.0,-24456.00297520423,3149.110567378074,0.0,0.0,-21306.892407826155,30.246586088879756,30.410327838959297,0.5500016754665027,0.5249992019225926
26.25,-21564.70148406177,3148.6318710436617,0.0,0.0,-18416.06961301811,30.248854763700972,30.414148906167508,0.5500016754665027,0.5249990882431506
26.5,-19880.58479477035,3148.153374124508,0.0,0.0,-16732.431420645844,30.25112235574557,30.4179501836684,0.5500016754665027,0.5249989849565369
26.75,-16090.06754517579,3147.67507653754,0.0,0.0,-12942.39246863825,30.253388865530326,30.421739763852017,0.5500016754665027,0.5249989050652253
27.0,-14523.787063154417,3147.19697819972,0.0,0.0,-11376.590084954698,30.255654293571776,30.425509922180048,0.5500016754665027,0.5249988348393606
27.25,-9082.147262101464,3146.7190790280447,0.0,0.0,-5935.428183073419,30.257918640386208,30.429271469981746,0.5500016754665027,0.524998798200915
27.5,-6756.12266347258,3146.241378939546,0.0,0.0,-3609.881284533034,30.26018190648966,30.433016269724423,0.5500016754665027,0.5249987759176972
27.75,-3283.885510917479,3145.7638778512896,0.0,0.0,-138.1216330661896,30.262444092397924,30.436754784004236,0.5500016754665027,0.5249987750650945
28.0,10479.507076636368,3145.286575680376,0.0,8374.793652316745,5250.0,30.26470519862655,30.440488351040646,0.5500016845893716,0.5249988074725019
28.25,9992.232340511197,3144.80947234394,0.0,7887.0418128551355,5250.0,30.266974380830955,30.444222860841812,0.5500016931809204,0.5249988398799094
28.5,9796.71369206723,3144.332567759152,0.0,7691.04625982638,5250.0,30.26924144474314,30.44795431519343,0.5500017015589664,0.5249988722873168
28.75,10951.827697665129,3143.8558618432144,0.0,8845.683559508343,5250.0,30.271507028167868,30.45168271659543,0.5500017111947874,0.5249989046947242
29.0,10092.600536567916,3143.3793545133676,0.0,7985.979891081282,5250.0,30.27377402279328,30.455408067545623,0.5500017198941118,0.5249989371021316
29.25,9267.30266163144,3142.9030456868836,0.0,7160.205707318324,5250.0,30.276038046638828,30.459130370539793,0.5500017276939002,0.5249989695095391
29.5,10351.64713262336,3142.4269352810697,0.0,8244.07406790443,5250.0,30.27829935732319,30.462849628071673,0.550001736674373,0.5249990019169465
29.75,8635.903646250003,3141.951023213269,0.0,6527.854669463271,5250.0,30.280561768309784,30.466565842632956,0.5500017437853258,0.5249990343243539
30.0,11324.43394978853,3141.4753094008565,0.0,9215.909259189386,5250.0,30.282819790153713,30.4702790167133,0.5500017538244427,0.5249990667317613
30.25,9863.095110239617,3140.9997937612443,0.0,7754.094904000862,5250.0,30.285082258870776,30.473989152800318,0.5500017622711691,0.5249990991391688
30.5,10036.707082757199,3140.5244762118764,0.0,7927.231558969075,5250.0,30.287340409507756,30.477696253379598,0.5500017709064976,0.5249991315465762
30.75,11806.216366845472,3140.0493566702335,0.0,9696.265723515706,5250.0,30.28959783688783,30.48140032093469,0.5500017814688786,0.5249991639539836
31.0,11721.392863292514,3139.5744350538284,0.0,9610.967298346342,5250.0,30.2918582568666,30.48510135794711,0.5500017919383419,0.524999196361391
31.25,10092.64534397388,3139.09971128021,0.0,7981.74505525409,5250.0,30.294117383124245,30.488799366896345,0.5500018006330533,0.5249992287687985
31.5,10499.893080463116,3138.6251852669616,0.0,8388.518265730077,5250.0,30.296371689474757,30.492494350259854,0.5500018097708728,0.5249992611762059
31.75,10872.143892244305,3138.1508569316993,0.0,8760.294749176004,5250.0,30.298625789297898,30.496186310513067,0.5500018193136775,0.5249992935836133
32.0,11345.616805177227,3137.676726192075,0.0,9233.293531369301,5250.0,30.300879645702043,30.499875250129396,0.5500018293717315,0.5249993259910207
32.25,9895.125680456289,3137.2027929657734,0.0,7782.3284734220615,5250.0,30.303133537598058,30.50356117158022,0.5500018378492135,0.5249993583984282
32.5,10108.208171140472,3136.7290571705153,0.0,7994.937228310988,5250.0,30.30538313067356,30.5072440773349,0.5500018465582954,0.5249993908058356
32.75,10979.70737782527,3136.255518724055,0.0,8865.962896549325,5250.0,30.30763208807357,30.510923969860777,0.5500018562162071,0.524999423213243
33.0,10215.640242061616,3135.7821775441807,0.0,8101.422419605797,5250.0,30.30988188953163,30.51460085162317,0.550001865041286,0.5249994556206504
33.25,10603.599885830572,3135.309033548715,0.0,8488.908919379286,5250.0,30.312128923718234,30.51827472508539,0.5500018742884635,0.5249994880280578
33.5,10487.887620761712,3134.836086655515,0.0,8372.723707417226,5250.0,30.314375724816514,30.52194559270872,0.5500018834090775,0.5249995204354653
33.75,9092.070441366812,3134.3633367824714,0.0,6976.433778149283,5250.0,30.316621197889436,30.525613456952442,0.5500018910086786,0.5249995528428727
34.0,9312.847190544759,3133.89078384751,0.0,7196.737974392268,5250.0,30.318862801226786,30.529278320273814,0.5500018988482624,0.5249995852502801
