time_s,P_drive_W,P_hvac_W,P_to_LFP_W,P_to_LTO_W,T_LFP_C,T_LTO_C,SoC_LFP,SoC_LTO
2342.75,40789.46802124632,1824.1792179650995,0.0,0.0,41.05758299745302,41.72576238571538,0.5500336346767528,0.5249865820570827
2343.0,41109.39949795409,1824.1691453895462,0.0,0.0,41.057775764567175,41.725855875811156,0.5500336346767528,0.5249865820570827
2343.25,43176.92290251381,1824.1590770100254,0.0,0.0,41.057968492251696,41.72594933403531,0.5500336346767528,0.5249865820570827
2343.5,44304.10322541022,1824.1490128247888,0.0,0.0,41.058161180514645,41.72604276039871,0.5500336346767528,0.5249865820570827
2343.75,43814.337906013665,1824.138952832089,0.0,0.0,41.05835382936409,41.72613615491221,0.5500336346767528,0.5249865820570827
2344.0,44499.23443821124,1824.1288970301798,0.0,0.0,41.05854643880808,41.726229517586674,0.5500336346767528,0.5249865820570827
2344.25,44583.34401678667,1824.1188454173155,0.0,0.0,41.05873900885469,41.72632284843295,0.5500336346767528,0.5249865820570827
2344.5,45135.99189419263,1824.1087979917506,0.0,0.0,41.05893153951197,41.72641614746189,0.5500336346767528,0.5249865820570827
2344.75,42462.34724457475,1824.098754751741,0.0,0.0,41.05912403078798,41.726509414684344,0.5500336346767528,0.5249865820570827
2345.0,41276.08490659535,1824.088715695543,0.0,0.0,41.05931648269077,41.726602650111154,0.5500336346767528,0.5249865820570827
2345.25,40735.83499117995,1824.0786808214139,0.0,0.0,41.0595088952284,41.726695853753164,0.5500336346767528,0.5249865820570827
2345.5,36203.31548367388,1824.0686501276114,0.0,0.0,41.05970126840892,41.7267890256212,0.5500336346767528,0.5249865820570827
2345.75,36445.41681896328,1824.0586236123938,0.0,0.0,41.059893602240386,41.7268821657261,0.5500336346767528,0.5249865820570827
2346.0,33364.979867498165,1824.0486012740207,0.0,0.0,41.06008589673084,41.7269752740787,0.5500336346767528,0.5249865820570827
2346.25,27401.41767217593,1824.0385831107524,0.0,0.0,41.060278151888326,41.727068350689805,0.5500336346767528,0.5249865820570827
2346.5,25984.382218973125,1824.028569120849,0.0,0.0,41.060470367720896,41.72716139557025,0.5500336346767528,0.5249865820570827
2346.75,20224.086866951504,1824.0185593025722,0.0,0.0,41.06066254423659,41.72725440873085,0.5500336346767528,0.5249865820570827
2347.0,17046.480448851184,1824.0085536541842,0.0,0.0,41.06085468144345,41.727347390182416,0.5500336346767528,0.5249865820570827
2347.25,13793.337785631102,1823.9985521739482,0.0,0.0,41.06104677934952,41.72744033993576,0.5500336346767528,0.5249865820570827
2347.5,8014.867875630671,1823.9885548601274,0.0,0.0,41.06123883796283,41.72753325800169,0.5500336346767528,0.5249865820570827
2347.75,4389.115351705096,1823.9785617109862,0.0,0.0,41.061430857291434,41.72762614439101,0.5500336346767528,0.5249865820570827
2348.0,17928.65496744887,1823.96857272479,0.0,0.0,41.06162283734335,41.727718999114515,0.5500336346767528,0.5249865820570827
2348.25,16903.881288076653,1823.9585878998043,0.0,0.0,41.06181477812662,41.727811822183,0.5500336346767528,0.5249865820570827
2348.5,17283.05649272369,1823.9486072342957,0.0,0.0,41.06200667964927,41.72790461360726,0.5500336346767528,0.5249865820570827
2348.75,17657.86010289663,1823.9386307265315,0.0,0.0,41.062198541919344,41.727997373398075,0.5500336346767528,0.5249865820570827
2349.0,17492.967251029324,1823.9286583747798,0.0,0.0,41.06239036494486,41.72809010156624,0.5500336346767528,0.5249865820570827
2349.25,18821.774228053546,1823.918690177309,0.0,0.0,41.06258214873385,41.728182798122525,0.5500336346767528,0.5249865820570827
2349.5,19998.266278002066,1823.9087261323887,0.0,0.0,41.06277389329434,41.72827546307771,0.5500336346767528,0.5249865820570827
2349.75,18054.782024524127,1823.8987662382888,0.0,0.0,41.06296559863435,41.728368096442566,0.5500336346767528,0.5249865820570827
2350.0,17797.207629789213,1823.8888104932805,0.0,0.0,41.0631572647619,41.72846069822787,0.5500336346767528,0.5249865820570827
2350.25,16622.244157078534,1823.878858895635,0.0,0.0,41.06334889168502,41.72855326844439,0.5500336346767528,0.5249865820570827
2350.5,18108.88693523613,1823.868911443625,0.0,0.0,41.06354047941172,41.72864580710287,0.5500336346767528,0.5249865820570827
